Simulation,Consumption Min,Consumption Max,Resource Replenishment Rate,Longevity,Max Population,Avg Population,Total Resources
69,0.13087712253767064,1.8288144776077517,15,500,54,35.044,3400121.051701552
29,0.282359405167049,1.3349272978719593,13,500,51,34.816,286899.9160881849
67,0.05300408042267926,1.6673664233852254,10,500,47,25.128,967581.0788938894
26,0.11578201266773586,1.393733311268884,11,500,55,33.844,108525.6256978749
53,0.28921159891556875,1.7679346036463357,13,500,49,28.542,4643054.07205799
80,0.4294724847327637,0.9474632875624864,10,500,37,27.406,135246.96177206046
23,0.14120828469426766,1.4405537329980551,12,500,63,35.942,115522.59226473559
61,0.47370082638096495,1.628816852623484,14,500,40,27.66,3715584.9689302295
21,0.3648917804890536,1.5424928678238659,23,500,70,51.226,3499085.5321636186
19,0.18225775174370296,1.9448704038662117,12,500,43,25.744,2497384.1996017965
42,0.07199266407421726,1.9905504212038285,12,500,46,25.924,2852719.5551661924
60,0.22451854452343728,1.7945725977552198,15,500,58,34.558,4561798.17746195
98,0.41556058340411306,1.5906691237999455,13,500,41,27.522,2196400.938351664
11,0.44228952685904244,1.4241490951723839,10,500,32,21.6,2145923.6501752865
10,0.49201778222854664,1.4253992156786268,17,500,49,35.558,4059433.574505512
58,0.3262016197037213,1.46484306374224,16,500,58,39.206,1756834.7017884285
75,0.16665857651203322,1.1371441076987803,17,500,85,59.5,34089.37724249946
88,0.2365114627044987,1.1204698918901794,12,500,57,38.722,38300.569335738226
5,0.3564658342313774,1.5831021026317529,10,500,37,21.94,2145876.2425975893
99,0.12820295080191463,1.9680868091785948,25,500,91,54.748,7110258.03169195
30,0.11624571337583449,1.721264590201732,14,500,56,35.792,1658621.0914930094
70,0.26480137653443747,1.9579091446586034,27,20,5,0.104,3986780.6167716864
72,0.26926271096142124,1.819005987632729,22,15,8,0.152,3277560.4674923494
86,0.3105554819320745,0.4481165286924698,15,15,5,0.07,2386244.725368656
74,0.3735962608310468,1.4415914984957023,21,14,5,0.08,3181024.4959574826
90,0.09491897589788562,1.9605893499942186,28,14,11,0.162,4049082.5201313742
46,0.4186812998534053,1.9748507959233654,29,14,6,0.084,4112881.3022145224
89,0.39098872461310447,0.4612278064876224,17,13,4,0.062,2609899.2065009433
39,0.2476893812993643,1.1844672910395646,21,13,5,0.074,3178152.1709124814
15,0.23523472026058373,0.8671737031598634,27,13,4,0.066,3873447.423414677
3,0.43370766819418677,1.9639078025789791,26,12,4,0.052,3749873.331391482
97,0.27677575287161765,0.43613012394263256,24,12,5,0.076,3512031.567411565
93,0.43922190184630816,1.2933451977396722,17,12,5,0.064,2669429.8802068136
20,0.453128084667419,0.8616985115827815,23,11,7,0.104,3383462.723006675
16,0.37785680204701994,1.9584891175508252,21,11,4,0.058,3172421.521967435
35,0.25599093941668205,1.5680629970125097,13,11,6,0.076,2113075.7231377303
76,0.31150656546659183,1.9816907797573777,27,11,5,0.074,3976664.5414157812
92,0.10165686360779741,0.9327944667844288,21,11,5,0.062,3160024.9151071436
96,0.3455940077391817,1.549851714066506,27,11,4,0.06,3799490.5389295067
7,0.3838501197105112,1.7486586359661702,18,10,7,0.088,2702712.0977290124
9,0.23435398573709537,1.4280737333737776,30,10,8,0.072,4186423.1807236923
84,0.4143754747042086,1.5972161861558911,27,10,6,0.068,3964209.8148196833
18,0.33810584764722545,1.4077769571562948,23,10,6,0.048,3400913.4689690163
78,0.34830082983517957,0.4298924539433794,25,10,5,0.054,3594405.4903329085
91,0.3905203329888502,1.2694875052196255,23,10,5,0.052,3472209.085950319
36,0.06969162838020188,0.18733331958566682,23,10,6,0.064,3355176.271242178
32,0.08437417384257716,0.4329764708086797,18,10,5,0.05,2750579.2257071203
56,0.29421388496713535,1.6374603457635215,15,8,5,0.052,2442994.8390848576
66,0.37733914953813025,1.2993347590111661,27,8,4,0.044,3867896.7708287523
1,0.36085186128956975,1.047032555760283,29,8,5,0.038,4132734.2005336573
13,0.22385539197514942,1.617311513099169,16,8,4,0.042,2577205.3394262334
31,0.3291413752643034,1.4788131448109865,25,8,4,0.044,3599262.4022109164
6,0.21319077547862014,0.9999421950655163,11,8,7,0.062,1847703.153768332
17,0.0974694483861403,1.9630395277483177,25,8,5,0.06,3650344.1520140218
94,0.20911701040826303,0.8524505585795428,12,7,6,0.042,2005015.1305050056
52,0.3537393710943679,0.6583267221630692,14,7,4,0.038,2274841.9686946394
71,0.353284521682285,1.1698051263657059,23,7,5,0.044,3411335.1689379406
2,0.06743862347104643,0.29838298159282006,21,7,5,0.048,3113870.989550234
44,0.43836617307903486,0.5053519323050814,30,7,4,0.036,4225021.801331227
82,0.08689306365675861,1.5749725979054774,17,7,4,0.04,2616130.3500417382
83,0.30919546406189913,0.9786294449907907,16,7,5,0.046,2516133.311143218
85,0.36498441856175384,0.3768018318322096,14,7,4,0.032,2211293.2325931047
27,0.29351510380168366,0.4082753360416407,26,7,4,0.04,3719225.2813840234
68,0.058064657944951345,0.15340535241476874,28,6,5,0.038,3981326.74844072
14,0.10799491092147764,0.391033798621634,15,6,5,0.044,2366959.1162481066
8,0.21474046234271915,1.778845529067871,22,6,4,0.036,3242905.745870929
25,0.3318386326068313,1.4780464897602255,21,6,4,0.034,3118256.912902813
64,0.4998810777702275,1.4431148078875458,23,6,4,0.032,3373495.7739318283
81,0.305651064750156,1.8706041262007789,17,6,4,0.032,2636480.999857421
62,0.4424450104277334,1.7012900032700882,24,6,4,0.034,3503600.20060646
43,0.09376609787078298,0.3832877750684482,12,6,7,0.056,2008930.3664587408
59,0.31589514526549056,1.6796739556600697,25,6,4,0.03,3552971.6042179866
49,0.33538371631022146,1.5720094114010315,25,6,4,0.038,3716927.333889268
77,0.4533325220230044,0.7160419053937126,25,6,4,0.028,3587551.8449737434
95,0.30038935311146997,1.3933433721495723,23,5,4,0.022,3316785.1704856297
79,0.4662725464993436,0.5561594960262934,16,5,5,0.04,2540204.763816686
87,0.15591077425302355,0.9548398077105604,13,5,4,0.028,2091341.0652487602
100,0.3607808968799952,0.4614565547201383,10,5,4,0.03,1782105.604777882
73,0.14684080610811895,1.3658706447044773,30,5,4,0.03,4311288.93859727
41,0.3598755934777587,0.9204459676479926,28,5,4,0.026,3967045.972029453
4,0.4384932785139568,1.2793386890147174,23,5,4,0.028,3362459.600350676
12,0.07413152379166216,1.860684351124643,27,5,5,0.034,3875909.0131654195
33,0.10329513662596987,1.400000905927275,21,5,4,0.028,3083819.341247354
34,0.16860926347767144,0.7376546403367349,30,5,5,0.028,4277722.665537941
38,0.29429390076605777,0.6590034955732754,22,5,4,0.03,3245493.276719264
65,0.2788316858631543,1.4908561184088027,23,5,4,0.026,3369677.3164856285
40,0.1051744141792451,0.22694061571829005,15,5,4,0.03,2356116.7113617207
47,0.1585317020626982,0.8853088326625425,21,5,4,0.03,3114496.430660937
48,0.12865374181409864,1.1780561295595078,30,5,4,0.032,4242820.59896036
50,0.179901424207481,1.3441766886665076,14,5,5,0.03,2176871.2578819804
54,0.34010406853631175,1.1176131132900282,22,5,4,0.034,3266309.4721446596
63,0.3103675672455667,0.6069179591381315,15,5,5,0.032,2341969.434324624
45,0.24228721906147016,0.8583144645563119,22,4,4,0.022,3248321.4470393774
55,0.27904466420838564,0.7509498181703513,16,4,4,0.02,2529073.6978024016
28,0.31883880808816034,0.3271982131605817,11,4,4,0.03,1840652.1676745461
24,0.40206160644020167,1.3208532662388972,22,4,4,0.026,3234512.5364011517
57,0.06247513916378334,1.0095272466999528,25,4,5,0.032,3647740.2033534953
51,0.15240682230115424,1.542527671460118,26,4,4,0.026,3772289.8897976293
37,0.3623304270424034,0.6629543167917702,27,3,4,0.02,3847504.3904626397
22,0.07667279976858049,1.7238323818490948,27,3,4,0.018,3887863.3176385486
